26,Tony Bradley\bradlto01,C,20,UTA,1,2,41.9,.500,.000,.000,53.2,0.0,26.9,0.0,0.0,0.0,0.0,44.1,,0.0,0.0,0.0,.222,,5.0,-15.4,-10.4,0.0
27,Corey Brewer\breweco01,SG,31,OKC,6,151,11.8,.669,.440,.240,2.8,6.2,4.5,4.8,2.3,3.0,6.7,8.6,,0.3,0.2,0.4,.140,,-0.1,2.7,2.6,0.2
28,Malcolm Brogdon\brogdma01,PG,25,MIL,7,186,7.9,.513,.345,.182,2.1,12.6,7.7,13.6,0.3,0.0,16.8,18.7,,-0.1,0.1,0.0,-0.008,,-3.6,-1.9,-5.5,-0.2
29,Aaron Brooks\brookaa01,PG,33,MIN,2,3,27.8,.515,.333,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,0.0,0.0,0.0,-0.201,,-1.5,-13.5,-15.0,0.0
30,Jaylen Brown\brownja02,SG,21,BOS,14,436,16.7,.586,.422,.172,3.1,15.1,9.0,8.3,1.3,1.8,8.8,23.9,,0.5,0.5,1.0,.116,,1.8,-0.3,1.5,0.4
31,Lorenzo Brown\brownlo01,PG,27,TOR,4,29,7.1,.414,.500,.200,4.1,21.6,12.7,9.9,0.0,2.7,8.4,18.6,,0.0,0.0,0.0,-0.045,,-5.9,0.0,-5.9,0.0
32,Sterling Brown\brownst02,SG,22,MIL,3,13,23.6,.700,.600,.000,9.9,8.6,9.2,0.0,4.0,0.0,0.0,18.7,,0.0,0.0,0.1,.236,,5.4,-4.1,1.3,0.0
33,Alec Burks\burksal01,SG,26,UTA,9,120,22.2,.581,.313,.234,1.8,20.0,10.8,26.4,1.6,0.7,10.2,28.9,,0.3,0.2,0.4,.168,,3.1,0.6,3.8,0.2
34,Jimmy Butler\butleji01,SG,28,MIN,5,170,16.9,.557,.270,.286,2.0,16.7,9.6,18.8,1.2,0.6,6.6,20.4,,0.3,0.0,0.3,.098,,-0.1,3.1,2.9,0.2
35,Jose Calderon\caldejo01,PG,36,CLE,9,94,2.7,.437,.773,.091,1.3,6.5,3.9,7.7,2.2,0.0,17.9,13.9,,-0.1,0.1,-0.1,-0.034,,-4.6,0.0,-4.6,-0.1
36,Clint Capela\capelca01,C,23,HOU,13,403,25.2,.638,.000,.308,13.3,26.8,20.0,8.4,1.4,6.5,6.2,16.1,,1.4,0.7,2.2,.259,,1.9,4.8,6.7,0.9
37,Ian Clark\clarkia01,SG,26,NOP,9,190,8.0,.517,.424,.061,1.1,4.2,2.7,7.8,2.0,0.8,11.7,17.3,,-0.1,0.2,0.1,.015,,-2.2,0.2,-2.1,0.0
