25,Trevor Booker\booketr01,PF,30,IND,7,0,9.1,0.9,1.4,.600,0.0,0.1,.000,0.9,1.3,.667,.600,0.9,1.0,.857,0.7,1.9,2.6,0.0,0.1,0.1,0.1,1.7,2.6
26,Tony Bradley\bradlto01,C,20,UTA,1,0,2.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
27,Corey Brewer\breweco01,SG,31,OKC,6,6,25.2,2.2,4.2,.520,0.8,1.8,.455,1.3,2.3,.571,.620,1.0,1.0,1.000,0.7,1.5,2.2,0.8,1.2,0.8,0.3,2.8,6.2
28,Malcolm Brogdon\brogdma01,PG,25,MIL,7,5,26.6,3.4,7.9,.436,0.7,2.7,.263,2.7,5.1,.528,.482,1.1,1.4,.800,0.4,3.0,3.4,2.4,0.1,0.0,1.7,2.0,8.7
29,Aaron Brooks\brookaa01,PG,33,MIN,2,0,1.5,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
30,Jaylen Brown\brownja02,SG,21,BOS,13,10,31.9,7.0,14.2,.495,2.5,6.0,.423,4.5,8.2,.547,.584,1.3,2.4,.548,0.9,4.2,5.2,1.5,0.8,0.6,1.3,3.0,17.8
31,Lorenzo Brown\brownlo01,PG,27,TOR,4,0,7.3,0.8,2.5,.300,0.5,1.3,.400,0.3,1.3,.200,.400,0.3,0.5,.500,0.3,1.3,1.5,0.5,0.0,0.3,0.3,0.5,2.3
32,Sterling Brown\brownst02,SG,22,MIL,3,0,4.3,1.0,1.7,.600,0.3,1.0,.333,0.7,0.7,1.000,.700,0.0,0.0,,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.7,2.3
33,Alec Burks\burksal01,SG,26,UTA,9,0,13.3,3.3,7.1,.469,1.0,2.2,.450,2.3,4.9,.477,.539,1.4,1.7,.867,0.2,2.4,2.7,1.9,0.4,0.1,0.9,1.0,9.1
34,Jimmy Butler\butleji01,SG,28,MIN,5,5,34.0,5.6,12.6,.444,1.6,3.4,.471,4.0,9.2,.435,.508,3.0,3.6,.833,0.6,5.4,6.0,4.0,0.8,0.2,1.0,1.8,15.8
35,Jose Calderon\caldejo01,PG,36,CLE,8,3,11.3,0.9,2.6,.333,0.5,2.0,.250,0.4,0.6,.600,.429,0.3,0.3,1.000,0.1,0.6,0.8,0.6,0.5,0.0,0.6,1.8,2.5
36,Clint Capela\capelca01,C,23,HOU,12,12,31.8,6.0,9.3,.649,0.0,0.0,,6.0,9.3,.649,.649,1.4,2.9,.486,3.8,7.8,11.5,1.7,0.9,2.5,0.8,2.2,13.4
